"MDATE","RIQI","SENSOR_ID","SENSOR_NO","SENSOR_POSITION_JG","F11","F12","F13","F14","F15","F16","M_RESULT","REMARK1","REMARK2","REMARK3","REMARK4"
"2023-05-09 15:59:05","2023-05-09","SLX01","SLX01","4号索塔","1561.474","0.000","0.000","0.000","0.000","0.000","5803.588","58.588",".01","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX07","SLX07","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","11097.315","7531.315","2.112","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX14","SLX14","5号索塔","1661.425","1655.700","1573.534","1569.015","1773.979","1457.892","3744.192","47.192",".013","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX23","SLX23","6号索塔","1682.907","1672.922","1637.618","1556.733","1570.631","1588.923","3983.234","41.234",".01","正常",""
"2023-05-09 15:59:05","2023-05-09","SLS24","SLS24","3号索塔","1533.451","1588.688","1510.522","1482.856","1663.307","1604.065","6315.84","61.84",".01","正常",""
"2023-05-09 15:59:05","2023-05-09","SLS19","SLS19","3号索塔","1578.693","1650.330","1609.304","1615.006","1606.970","1669.533","3350.655","23.655",".007","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX19","SLX19","6号索塔","1649.623","1674.361","1666.857","1591.070","1616.147","1738.472","3354.929","27.929",".008","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX03","SLX03","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12690.427","9545.427","3.035","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX05","SLX05","4号索塔","0.000","0.000","0.000","0.000","0.000","0.000","12861.713","10018.713","3.524","正常",""
"2023-05-09 15:59:05","2023-05-09","SLS20","SLS20","3号索塔","311.718","1801.671","1717.675","1547.848","311.729","1725.139","6381.708","3083.708",".935","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX02","SLX02","4号索塔","1572.662","1613.436","1656.719","1768.738","1737.101","1659.249","3581.781","54.781",".016","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX21","SLX21","6号索塔","1710.011","1737.975","1644.968","1587.602","1578.779","1601.865","3404.613","32.613",".01","正常",""
"2023-05-09 15:59:05","2023-05-09","SLX10","SLX10","5号索塔","1574.296","1646.337","1489.529","1550.527","1621.068","1556.785","4263.48","40.48",".01","正常",""
"2023-05-09 15:59:05","2023-05-09","SLS09","SLS09","2号索塔","0.000","0.000","0.000","0.000","0.000","0.000","6930","0","0","正常",""
